Day,OT_Scripture_Readings,NT_Scripture_Readings,OT_URL,NT_URL,Video_URLs
245,Ecclesiastes 1; Ecclesiastes 2; Ecclesiastes 3,1 Corinthians 12,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/245,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/245,https://www.youtube.com/embed/lrsQ1tc-2wk
246,Ecclesiastes 4; Ecclesiastes 5; Ecclesiastes 6,1 Corinthians 13,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/246,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/246,https://www.youtube.com/embed/VeUiuSK81-0
247,Ecclesiastes 7; Ecclesiastes 8; Ecclesiastes 9,1 Corinthians 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/247,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/247,
248,Ecclesiastes 10; Ecclesiastes 11; Ecclesiastes 12,1 Corinthians 14,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/248,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/248,
249,Song Of Songs 1; Song Of Songs 2; Song Of Songs 3; Song Of Songs 4,1 Corinthians 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/249,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/249,https://www.youtube.com/embed/4KC7xE4fgOw
250,Song Of Songs 5; Song Of Songs 6; Song Of Songs 7; Song Of Songs 8,1 Corinthians 15,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/250,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/250,
251,Isaiah 1; Isaiah 2,1 Corinthians 16,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/251,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/251,https://www.youtube.com/embed/d0A6Uchb1F8
252,Isaiah 3; Isaiah 4,2 Corinthians 1,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/252,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/252,https://www.youtube.com/embed/3lfPK2vfC54
253,Isaiah 5; Isaiah 6,2 Corinthians 2,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/253,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/253,https://www.youtube.com/embed/l9vn5UvsHvM
254,Isaiah 7; Isaiah 8,2 Corinthians 3,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/254,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/254,
255,Isaiah 9; Isaiah 10,2 Corinthians 4,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/255,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/255,
256,Isaiah 11; Isaiah 12,2 Corinthians 5,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/256,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/256,
257,Isaiah 13; Isaiah 14,2 Corinthians 6,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/257,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/257,
258,Isaiah 15; Isaiah 16,2 Corinthians 7,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/258,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/258,
259,Isaiah 17; Isaiah 18,2 Corinthians 8,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/259,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/259,
260,Isaiah 19; Isaiah 20,2 Corinthians 9,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/260,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/260,
261,Isaiah 21; Isaiah 22,2 Corinthians 10,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/261,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/261,
262,Isaiah 23; Isaiah 24,2 Corinthians 11,https://www.bible.com/reading-plans/13630-bibleproject-old-testament-in-a-year/day/262,https://www.bible.com/reading-plans/13233-bibleproject-new-testament-in-one-year/day/262,
